AAPL,Date_AAPL,MSFT,Date_MSFT,GOOGL,Date_GOOGL,TSLA,Date_TSLA
24.009061813354492,2016-01-04,48.79772186279297,2016-01-04,37.97200012207031,2016-01-04,14.894000053405762,2016-01-04
23.40741539001465,2016-01-05,49.02034378051758,2016-01-05,38.076499938964844,2016-01-05,14.895333290100098,2016-01-05
22.949338912963867,2016-01-06,48.129878997802734,2016-01-06,37.96649932861328,2016-01-06,14.602666854858398,2016-01-06
21.98076629638672,2016-01-07,46.4557991027832,2016-01-07,37.04999923706055,2016-01-07,14.376667022705078,2016-01-07
22.09699249267578,2016-01-08,46.59825134277344,2016-01-08,36.545501708984375,2016-01-08,14.066666603088379,2016-01-08
22.45479965209961,2016-01-11,46.57154846191406,2016-01-11,36.653499603271484,2016-01-11,13.856666564941406,2016-01-11
22.78070068359375,2016-01-12,46.998966217041016,2016-01-12,37.266998291015625,2016-01-12,13.998000144958496,2016-01-12
22.194995880126953,2016-01-13,45.98384475708008,2016-01-13,35.97850036621094,2016-01-13,13.354000091552734,2016-01-13
22.680416107177734,2016-01-14,47.2928352355957,2016-01-14,36.56949996948242,2016-01-14,13.745332717895508,2016-01-14
22.135738372802734,2016-01-15,45.405033111572266,2016-01-15,35.52450180053711,2016-01-15,13.666000366210938,2016-01-15
22.02863121032715,2016-01-19,45.02214050292969,2016-01-19,35.95399856567383,2016-01-19,13.64799976348877,2016-01-19
22.058259963989258,2016-01-20,45.22694778442383,2016-01-20,35.928001403808594,2016-01-20,13.24666690826416,2016-01-20
21.94658851623535,2016-01-21,44.950904846191406,2016-01-21,36.333499908447266,2016-01-21,13.33133316040039,2016-01-21
23.113426208496094,2016-01-22,46.562652587890625,2016-01-22,37.27299880981445,2016-01-22,13.50333309173584,2016-01-22
22.66218376159668,2016-01-25,46.11741256713867,2016-01-25,36.680999755859375,2016-01-25,13.092000007629395,2016-01-25
22.787532806396484,2016-01-26,46.4557991027832,2016-01-26,36.68949890136719,2016-01-26,12.904000282287598,2016-01-26
21.29024314880371,2016-01-27,45.60984802246094,2016-01-27,35.87900161743164,2016-01-27,12.538000106811523,2016-01-27
21.442928314208984,2016-01-28,46.357845306396484,2016-01-28,37.415000915527344,2016-01-28,12.646666526794434,2016-01-28
22.1835994720459,2016-01-29,49.05597686767578,2016-01-29,38.067501068115234,2016-01-29,12.74666690826416,2016-01-29
21.976215362548828,2016-02-01,48.71757507324219,2016-02-01,38.53850173950195,2016-02-01,13.129332542419434,2016-02-01
21.531814575195312,2016-02-02,47.19487762451172,2016-02-02,39.045501708984375,2016-02-02,12.185333251953125,2016-02-02
21.957983016967773,2016-02-03,46.4468879699707,2016-02-03,37.46900177001953,2016-02-03,11.565333366394043,2016-02-03
22.13440704345703,2016-02-04,46.30441665649414,2016-02-04,36.50149917602539,2016-02-04,11.688667297363281,2016-02-04
21.543245315551758,2016-02-05,44.66594314575195,2016-02-05,35.1879997253418,2016-02-05,10.84000015258789,2016-02-05
21.770092010498047,2016-02-08,43.998104095458984,2016-02-08,35.20800018310547,2016-02-08,9.866000175476074,2016-02-08
21.765506744384766,2016-02-09,43.8823356628418,2016-02-09,35.05099868774414,2016-02-09,9.883333206176758,2016-02-09
21.60053825378418,2016-02-10,44.26524353027344,2016-02-10,35.342498779296875,2016-02-10,9.57800006866455,2016-02-10
21.469924926757812,2016-02-11,44.24742126464844,2016-02-11,35.31800079345703,2016-02-11,10.031332969665527,2016-02-11
21.53636932373047,2016-02-12,44.968711853027344,2016-02-12,35.34450149536133,2016-02-12,10.06933307647705,2016-02-12
22.143577575683594,2016-02-16,45.82072830200195,2016-02-16,35.88199996948242,2016-02-16,10.344667434692383,2016-02-16
22.482696533203125,2016-02-17,47.01355743408203,2016-02-17,36.5984992980957,2016-02-17,11.245332717895508,2016-02-17
22.056516647338867,2016-02-18,46.807281494140625,2016-02-18,35.8754997253418,2016-02-18,11.118000030517578,2016-02-18
22.006103515625,2016-02-19,46.4754524230957,2016-02-19,36.105499267578125,2016-02-19,11.10533332824707,2016-02-19
22.198572158813477,2016-02-22,47.2198371887207,2016-02-22,36.45249938964844,2016-02-22,11.849332809448242,2016-02-22
21.696765899658203,2016-02-23,45.90145492553711,2016-02-23,35.864498138427734,2016-02-23,11.814000129699707,2016-02-23
22.019847869873047,2016-02-24,46.062889099121094,2016-02-24,36.04499816894531,2016-02-24,11.933333396911621,2016-02-24
22.17107582092285,2016-02-25,46.726566314697266,2016-02-25,36.45600128173828,2016-02-25,12.495332717895508,2016-02-25
22.205446243286133,2016-02-26,46.009071350097656,2016-02-26,36.24300003051758,2016-02-26,12.689332962036133,2016-02-26
22.15503692626953,2016-02-29,45.632389068603516,2016-02-29,35.861000061035156,2016-02-29,12.795332908630371,2016-02-29
23.034910202026367,2016-03-01,47.15705871582031,2016-03-01,37.10850143432617,2016-03-01,12.423333168029785,2016-03-01
23.085323333740234,2016-03-02,47.48889923095703,2016-03-02,36.9739990234375,2016-03-02,12.555999755859375,2016-03-02
23.257177352905273,2016-03-03,46.95077896118164,2016-03-03,36.579498291015625,2016-03-03,13.049332618713379,2016-03-03
23.60317039489746,2016-03-04,46.66377258300781,2016-03-04,36.51100158691406,2016-03-04,13.402667045593262,2016-03-04
23.341955184936523,2016-03-07,45.766910552978516,2016-03-07,35.63999938964844,2016-03-07,13.685999870300293,2016-03-07
23.149484634399414,2016-03-08,46.322975158691406,2016-03-08,35.67649841308594,2016-03-08,13.506667137145996,2016-03-08
